"","budget","company","country","director","genre","gross","name","rating","released","runtime","score","star","votes","writer","year","actor_n","director_n","company_n","writer_n","country_n","success","success_diff","success_abs_diff"
"33",0.685649992794882,"Amblin Entertainment","USA","Richard Benjamin","Comedy",0.784381866890608,"The Money Pit","PG","1986-03-26",0.104265402843602,0.615384615384615,"Tom Hanks",41278,"David Giler",1986,31,7,8,2,3726,2.39976648227522,0.168997251505993,0.168997251505993
"34",0.574374810191493,"Paramount Pictures","USA","Tom McLoughlin","Horror",0.740470746687209,"Jason Lives: Friday the 13th Part VI","R","1986-08-01",0.0805687203791469,0.564102564102564,"Thom Mathews",28310,"Tom McLoughlin",1986,1,2,222,2,3726,2.30457331078977,0.176368182584645,0.176368182584645
"35",0.770336638656599,"The Saul Zaentz Company","USA","Peter Weir","Adventure",0.719798243448331,"The Mosquito Coast","PG","1986-11-26",0.227488151658768,0.653846153846154,"Harrison Ford",23076,"Paul Theroux",1986,20,4,4,1,3726,2.37364439729448,0.0659520896021768,0.0659520896021768
"36",0.600963346933164,"Initial Pictures","UK","Alex Cox","Biography",0.611157593013128,"Sid and Nancy","R","1986-11-07",0.203791469194313,0.717948717948718,"Gary Oldman",25032,"Alex Cox",1986,5,3,1,2,366,2.32910631096185,-0.10679112493559,0.10679112493559
"37",0.685649992794882,"De Laurentiis Entertainment Group (DEG)","USA","John Guillermin","Action",0.645389884673995,"King Kong Lives","PG-13","1986-12-19",0.170616113744076,0.294871794871795,"Brian Kerwin",4401,"Ronald Shusett",1986,1,1,15,1,3726,1.94026167954579,0.3505180898022,0.3505180898022
"38",0.61184924797109,"Empire Pictures","USA","Stuart Gordon","Horror",0.557075867705389,"From Beyond","R","1986-10-24",0.0805687203791469,0.666666666666667,"Jeffrey Combs",16636,"H.P. Lovecraft",1986,1,4,4,1,3726,2.22374253437206,-0.109590798961277,0.109590798961277
"39",0.739975197013626,"TriStar Pictures","USA","Francis Ford Coppola","Comedy",0.790984081556675,"Peggy Sue Got Married","PG-13","1986-10-10",0.161137440758294,0.615384615384615,"Kathleen Turner",28529,"Jerry Leichtling",1986,4,8,58,1,3726,2.40636869694129,0.17559946617206,0.17559946617206
"40",0.744972269952558,"Freddie Fields Productions","USA","Brian Gibson","Horror",0.790355878976923,"Poltergeist II: The Other Side","PG-13","1986-05-23",0.104265402843602,0.538461538461538,"JoBeth Williams",20669,"Mark Victor",1986,1,3,1,1,3726,2.32881741743846,0.251894340515384,0.251894340515384
"41",0.481646282629205,"Empire Pictures","USA","John Carl Buechler","Comedy",0.655160283613734,"Troll","PG-13","1986-01-17",0.0616113744075829,0.358974358974359,"Michael Moriarty",7569,"Ed Naha",1986,1,2,4,1,3726,2.01413464258809,0.296185924639375,0.296185924639375
"42",0.269670103710754,"Maljack Productions","USA","John McNaughton","Biography",0.508410802041595,"Henry: Portrait of a Serial Killer","UNRATED","1990-09-07",0.0663507109004739,0.705128205128205,"Michael Rooker",25367,"Richard Fire",1986,1,2,1,1,3726,2.2135390071698,-0.19671740308661,0.19671740308661
"43",0.739975197013626,"ABC Motion Pictures","USA","Harry Winer","Adventure",0.693763113531496,"SpaceCamp","PG","1986-06-06",0.180094786729858,0.525641025641026,"Kate Capshaw",11484,"Clifford Green",1986,2,1,1,1,3726,2.21940413917252,0.16812208789047,0.16812208789047
"44",0.644402650113983,"Orion Pictures","USA","Woody Allen","Comedy",0.788847455985659,"Hannah and Her Sisters","PG-13","1986-03-14",0.180094786729858,0.833333333333333,"Mia Farrow",56988,"Woody Allen",1986,3,30,29,29,3726,2.62218078931899,-0.0444858773476747,0.0444858773476747
"45",0.716747879255829,"Walt Disney Pictures","USA","Ron Clements","Animation",0.786319664852491,"The Great Mouse Detective","G","1986-07-02",0.023696682464455,0.730769230769231,"Vincent Price",36539,"Peter Young",1986,3,7,89,1,3726,2.51708889562172,0.0555504340832605,0.0555504340832605
"46",0.67062945122501,"De Laurentiis Entertainment Group (DEG)","USA","John Irvin","Action",0.728183192602667,"Raw Deal","R","1986-06-06",0.175355450236967,0.512820512820513,"Arnold Schwarzenegger",24851,"Luciano Vincenzoni",1986,22,3,15,1,3726,2.24100370542318,0.215362679782154,0.215362679782154
"47",0.638437784712761,"Sunbow Productions","USA","Nelson Shin","Animation",0.65989184691942,"The Transformers: The Movie","PG","1986-08-08",0.0710900473933649,0.743589743589744,"Orson Welles",33609,"Ron Friedman",1986,1,1,1,1,3726,2.40348159050916,-0.0836978966703236,0.0836978966703236
"48",0.621587018273614,"TriStar Pictures","USA","Fred Dekker","Comedy",0.506338782633834,"Night of the Creeps","R","1986-08-22",0.0900473933649289,0.679487179487179,"Jason Lively",16077,"Fred Dekker",1986,1,3,58,1,3726,2.18582596212101,-0.173148396853345,0.173148396853345
"49",0.702500759234029,"Cannon Pictures","USA","Tobe Hooper","Horror",0.647812305386749,"Invaders from Mars","PG","1986-06-06",0.146919431279621,0.512820512820513,"Karen Black",5878,"Richard Blake",1986,1,2,1,1,3726,2.16063281820726,0.134991792566237,0.134991792566237
"50",0.638437784712761,"De Haven Productions","UK","David Anspaugh","Drama",0.766246451233884,"Hoosiers","PG","1987-02-27",0.213270142180095,0.782051282051282,"Gene Hackman",36604,"Angelo Pizzo",1986,11,2,1,1,366,2.54829773328517,-0.0158048308173978,0.0158048308173978
"51",0.645835598750121,"Cinema '85","USA","James Foley","Crime",0.598700926659259,"At Close Range","R","1986-04-18",0.199052132701422,0.705128205128205,"Sean Penn",11607,"Elliott Lewitt",1986,13,6,1,1,3726,2.30382913178746,-0.106427278468946,0.106427278468946
"52",0.74971296731615,"Paramount Pictures","USA","Mike Nichols","Comedy",0.758051817799562,"Heartburn","R","1986-07-25",0.184834123222749,0.58974358974359,"Meryl Streep",7570,"Nora Ephron",1986,18,11,222,5,3726,2.34779540754315,0.168308228055973,0.168308228055973
"53",0.723124430574478,"Warner Bros.","USA","Michael Chapman","Adventure",0.586412633895038,"The Clan of the Cave Bear","R","1986-01-17",0.137440758293839,0.487179487179487,"Daryl Hannah",5340,"Jean M. Auel",1986,1,1,257,1,3726,2.07359212107453,0.0992331467155508,0.0992331467155508
"54",0.702500759234029,"Golan-Globus Productions","USA","Menahem Golan","Action",0.734337826030702,"The Delta Force","R","1986-02-14",0.265402843601896,0.525641025641026,"Chuck Norris",15819,"James Bruner",1986,3,2,7,1,3726,2.25997885167173,0.208696800389677,0.208696800389677
"55",0.739975197013626,"Paramount Pictures","USA","Ron Howard","Comedy",0.782776035146028,"Gung Ho","PG-13","1986-03-14",0.203791469194313,0.602564102564103,"Michael Keaton",9965,"Edwin Blum",1986,14,20,222,1,3726,2.38534013771013,0.180211932581926,0.180211932581926
"56",0.311746360787771,"40 Acres & A Mule Filmworks","USA","Spike Lee","Comedy",0.673224397030998,"She's Gotta Have It","R","1986-08-08",0.0710900473933649,0.653846153846154,"Tracy Camilla Johns",5257,"Spike Lee",1986,1,17,9,8,3726,2.32707055087715,0.0193782431848445,0.0193782431848445
"57",0.672778928002901,"Delphi V Productions","USA","Paul Michael Glaser","Action",0.647554599001222,"Band of the Hand","R","1986-04-11",0.18957345971564,0.615384615384615,"Stephen Lang",2297,"Leo Garen",1986,3,4,1,1,3726,2.26293921438584,0.0321699836166072,0.0321699836166072
"58",0.702500759234029,"Columbia Pictures Corporation","USA","Mark L. Lester","Action",0.72708324422969,"Armed and Dangerous","PG-13","1986-08-15",0.0900473933649289,0.525641025641026,"John Candy",9040,"Brian Grazer",1986,5,3,137,1,3726,2.25272426987071,0.201442218588664,0.201442218588664
"59",0.481646282629205,"Black Snake","USA","Jim Jarmusch","Comedy",0.565783461473571,"Down by Law","R","1986-10-30",0.180094786729858,0.807692307692308,"Tom Waits",39456,"Jim Jarmusch",1986,1,6,1,6,3726,2.37347576916588,-0.241908846218737,0.241908846218737
"60",0.685649992794882,"Orion Pictures","USA","Robert Mandel","Action",0.744255862842108,"F/X","R","1986-02-07",0.18957345971564,0.666666666666667,"Bryan Brown",14502,"Robert T. Megginson",1986,3,1,29,2,3726,2.41092252950877,0.077589196175441,0.077589196175441
"61",0.739975197013626,"Gladden Entertainment","USA","Marshall Brickman","Sci-Fi",0.632728124089752,"The Manhattan Project","PG-13","1986-06-13",0.227488151658768,0.58974358974359,"John Lithgow",4666,"Marshall Brickman",1986,2,1,5,2,3726,2.22247171383334,0.0429845343461621,0.0429845343461621
"62",0.621587018273614,"Paramount Pictures","USA","Fred Walton","Horror",0.713129284662107,"April Fool's Day","R","1986-03-28",0.0947867298578199,0.602564102564103,"Deborah Foreman",11458,"Danilo Bach",1986,1,1,222,3,3726,2.31569338722621,0.110565182098005,0.110565182098005
"63",0.770336638656599,"Brooksfilms","USA","Alan Johnson","Action",0.572155196752012,"Solarbabies","PG-13","1986-11-26",0.118483412322275,0.423076923076923,"Richard Jordan",3397,"Walon Green",1986,1,1,4,1,3726,1.99523211982893,0.149078273675089,0.149078273675089
"64",0.813775941837418,"Carthago Films S.a.r.l.","France","Roman Polanski","Adventure",0.574758437457045,"Piratas","PG-13","1986-07-18",0.246445497630332,0.58974358974359,"Walter Matthau",6596,"John Brownjohn",1986,2,8,1,1,108,2.16450202720063,-0.0149851522865446,0.0149851522865446
"65",0.685649992794882,"Touchstone Pictures","USA","Jeff Kanew","Comedy",0.746978689775937,"Tough Guys","PG","1986-10-03",0.165876777251185,0.602564102564103,"Burt Lancaster",5584,"James Orr",1986,1,2,94,2,3726,2.34954279234004,0.144414587211834,0.144414587211834
"66",0.702500759234029,"Cinema Group Ventures","USA","Roger Spottiswoode","Comedy",0.679093776683575,"The Best of Times","PG-13","1986-01-31",0.165876777251185,0.564102564102564,"Robin Williams",5523,"Ron Shelton",1986,22,6,2,3,3726,2.24319634078614,0.114991212581011,0.114991212581011
"67",0.536900372411896,"Paragon Arts International","UK","Kevin Tenney","Horror",0.675366498265387,"Witchboard","R","1987-03-13",0.137440758293839,0.538461538461538,"Todd Allen",4744,"Kevin Tenney",1986,1,2,1,1,366,2.21382803672693,0.136904959803849,0.136904959803849
"68",0.716747879255829,"Touchstone Pictures","USA","Paul Mazursky","Comedy",0.818216541976496,"Down and Out in Beverly Hills","R","1986-01-31",0.161137440758294,0.58974358974359,"Nick Nolte",13569,"René Fauchois",1986,13,3,94,1,3726,2.40796013172009,0.228472952232907,0.228472952232907
"69",0.67062945122501,"Capital Equipment Leasing","UK","Trevor Nunn","Biography",0.455677882854841,"Lady Jane","PG-13","1986-02-07",0.317535545023697,0.730769230769231,"Helena Bonham Carter",5364,"Chris Bryant",1986,2,2,1,1,366,2.18644711362407,-0.27509134791439,0.27509134791439
"70",0.739975197013626,"Producers Sales Organization (PSO)","USA","Hal Ashby","Action",0.559379821251618,"8 Million Ways to Die","R","1986-04-25",0.218009478672986,0.538461538461538,"Jeff Bridges",3607,"Lawrence Block",1986,16,1,2,2,3726,2.09784135971316,0.0209182827900798,0.0209182827900798
"71",0.665026321454432,"Cannon Group","USA","J. Lee Thompson","Action",0.707104237496901,"Firewalker","PG","1986-11-21",0.165876777251185,0.448717948717949,"Chuck Norris",4752,"Robert Gosnell",1986,3,3,5,1,3726,2.15582218621485,0.258386288778952,0.258386288778952
"72",0.583183694930069,"Amaretto Films","USA","Richard Wenk","Comedy",0.648582256053713,"Vamp","R","1986-07-18",0.113744075829384,0.564102564102564,"Chris Makepeace",3909,"Donald P. Borchers",1986,1,1,1,1,3726,2.21268482015628,0.084479691951149,0.084479691951149
"73",0.723124430574478,"Warner Bros.","USA","Harold Ramis","Comedy",0.709736790960311,"Club Paradise","PG-13","1986-07-11",0.127962085308057,0.435897435897436,"Robin Williams",5049,"Harry Shearer",1986,22,7,257,1,3726,2.14563422685775,0.273839355062875,0.273839355062875
"74",0.813775941837418,"Universal Pictures","USA","Ivan Reitman","Comedy",0.803459151741356,"Legal Eagles","PG","1986-06-20",0.222748815165877,0.564102564102564,"Robert Redford",8374,"Ivan Reitman",1986,11,11,265,1,3726,2.36756171584392,0.239356587638791,0.239356587638791
"75",0.709898573271389,"Metro-Goldwyn-Mayer (MGM)","USA","Brian De Palma","Comedy",0.684736533033142,"Wise Guys","R","1986-04-18",0.146919431279621,0.525641025641026,"Danny DeVito",4573,"George Gallo",1986,5,12,79,6,3726,2.21037755867417,0.159095507392117,0.159095507392117
"76",0.734692425746278,"HandMade Films","UK","Jim Goddard","Adventure",0.597800846412954,"Shanghai Surprise","PG-13","1986-08-29",0.132701421800948,0.205128205128205,"Sean Penn",4339,"John Kohn",1986,13,1,2,1,366,1.80292905154116,0.392672641284749,0.392672641284749
"77",0.7290892959757,"Lorimar Productions","USA","Sidney Lumet","Drama",0.630987663752401,"Power","R","1986-01-31",0.199052132701422,0.538461538461538,"Richard Gere",2287,"David Himmelstein",1986,15,5,1,1,3726,2.16944920221394,0.0925261252908621,0.0925261252908621
"78",0.74971296731615,"De Laurentiis Entertainment Group (DEG)","USA","Bruce Beresford","Comedy",0.751351960783867,"Crimes of the Heart","PG-13","1987-01-23",0.170616113744076,0.628205128205128,"Diane Keaton",3079,"Beth Henley",1986,4,10,15,1,3726,2.37955708898899,0.123146832578738,0.123146832578738
"79",0.638437784712761,"Golan-Globus Productions","USA","J. Lee Thompson","Action",0.695467805844845,"Murphy's Law","R","1986-04-18",0.146919431279621,0.564102564102564,"Charles Bronson",3561,"Gail Morgan Hickman",1986,4,3,7,1,3726,2.25957036994741,0.131365241742281,0.131365241742281
"80",0.600963346933164,"Cannon Group, The","USA","Sam Firstenberg","Action",0.644939378417013,"Avenging Force","R","1986-09-12",0.165876777251185,0.564102564102564,"Michael Dudikoff",1808,"James Booth",1986,2,2,1,1,3726,2.20904194251958,0.0808368143144493,0.0808368143144493
"81",0.739975197013626,"Rastar Pictures","USA","Gene Saks","Comedy",0.707800641779016,"Brighton Beach Memoirs","PG-13","1986-12-25",0.184834123222749,0.692307692307692,"Blythe Danner",2720,"Neil Simon",1986,1,1,3,4,3726,2.40010833408671,0.0154929494713236,0.0154929494713236
"82",0.770336638656599,"De Laurentiis Entertainment Group (DEG)","USA","Daryl Duke","Adventure",0.634545852114607,"Tai-Pan","R","1986-11-07",0.274881516587678,0.512820512820513,"Bryan Brown",1340,"John Briley",1986,3,1,15,2,3726,2.14736636493512,0.121725339294094,0.121725339294094
"83",0.734692425746278,"Escalante Productions","USA","Dick Richards","Action",0.610363299296957,"Heat","R","1987-03-13",0.151658767772512,0.512820512820513,"Burt Reynolds",1358,"William Goldman",1986,5,1,1,3,3726,2.12318381211747,0.0975427864764439,0.0975427864764439
"84",0.716747879255829,"Columbia Pictures Corporation","USA","Richard Pryor","Biography",0.735330653423713,"Jo Jo Dancer, Your Life Is Calling","R","1986-05-02",0.132701421800948,0.615384615384615,"Richard Pryor",1288,"Rocco Urbisci",1986,4,1,137,1,3726,2.35071526880833,0.119946038039098,0.119946038039098
"85",0.585980202064074,"Cinema Group Ventures","USA","Renny Harlin","Action",0.623298598913583,"Born American","R","1986-08-29",0.132701421800948,0.358974358974359,"Mike Norris",1509,"Renny Harlin",1986,1,15,2,1,3726,1.98227295788794,0.264324239939224,0.264324239939224
"86",0.685649992794882,"Paramount Pictures","USA","Michelle Manning","Action",0.67141933300843,"Blue City","R","1986-05-02",0.0663507109004739,0.371794871794872,"Judd Nelson",792,"Ross Macdonald",1986,1,1,222,1,3726,2.0432142048033,0.299624461213558,0.299624461213558
"87",0.536900372411896,"American Playhouse","USA","Jerrold Freedman","Drama",0.559174508220365,"Native Son","PG","1986-12-12",0.199052132701422,0.564102564102564,"Victor Love",448,"Richard Wesley",1986,1,1,7,1,3726,2.12327707232293,-0.0049280558821988,0.0049280558821988
"88",0.739975197013626,"J&M; Entertainment","UK","Zoran Perisic","Action",0.597214294340863,"Sky Bandits","PG","1986-10-31",0.146919431279621,0.397435897435897,"Scott McGinnis",183,"Thom Keyes",1986,1,1,1,1,366,1.99465019177676,0.199778396904966,0.199778396904966
"89",0.510311835670225,"Cinetel Films","USA","Fred Olen Ray","Action",0.562577643356497,"Armed Response","R","1986-10-03",0.0805687203791469,0.435897435897436,"David Carradine",489,"T.L. Lankford",1986,1,1,5,2,3726,1.99847507925393,0.126680207459061,0.126680207459061
"90",0.7290892959757,"Act III Communications","USA","Rob Reiner","Adventure",0.771320007384242,"The Princess Bride","PG","1987-10-09",0.137440758293839,0.846153846153846,"Cary Elwes",320953,"William Goldman",1987,4,14,1,3,3726,2.61747385353809,-0.0748338387696045,0.0748338387696045
"91",0.472837397890628,"Cinemarque Entertainment BV","UK","Clive Barker","Horror",0.721011063967305,"Hellraiser","R","1987-09-18",0.118483412322275,0.705128205128205,"Andrew Robinson",83209,"Clive Barker",1987,1,3,1,6,366,2.42613926909551,0.0158828588390996,0.0158828588390996
